sample: 6, episode: 3, total reward: 41.0
sample: 6, episode: 4, total reward: 10.0
sample: 6, episode: 5, total reward: 22.0
sample: 6, episode: 6, total reward: 12.0
sample: 6, episode: 7, total reward: 15.0
sample: 6, episode: 8, total reward: 13.0
sample: 6, episode: 9, total reward: 19.0
sample: 7, episode: 0, total reward: 14.0
sample: 7, episode: 1, total reward: 15.0
sample: 7, episode: 2, total reward: 8.0
sample: 7, episode: 3, total reward: 15.0
sample: 7, episode: 4, total reward: 16.0
sample: 7, episode: 5, total reward: 24.0
sample: 7, episode: 6, total reward: 14.0
sample: 7, episode: 7, total reward: 11.0
sample: 7, episode: 8, total reward: 19.0
sample: 7, episode: 9, total reward: 10.0
sample: 8, episode: 0, total reward: 14.0
sample: 8, episode: 1, total reward: 16.0
sample: 8, episode: 2, total reward: 27.0
sample: 8, episode: 3, total reward: 57.0
sample: 8, episode: 4, total reward: 25.0
sample: 8, episode: 5, total reward: 17.0
sample: 8, episode: 6, total reward: 24.0
sample: 8, episode: 7, total reward: 21.0
sample: 8, episode: 8, total reward: 50.0
sample: 8, episode: 9, total reward: 12.0
sample: 9, episode: 0, total reward: 24.0
sample: 9, episode: 1, total reward: 24.0
sample: 9, episode: 2, total reward: 16.0
sample: 9, episode: 3, total reward: 31.0
sample: 9, episode: 4, total reward: 10.0
sample: 9, episode: 5, total reward: 13.0
sample: 9, episode: 6, total reward: 26.0
sample: 9, episode: 7, total reward: 14.0
sample: 9, episode: 8, total reward: 32.0
sample: 9, episode: 9, total reward: 31.0
sample: 10, episode: 0, total reward: 15.0
sample: 10, episode: 1, total reward: 14.0
sample: 10, episode: 2, total reward: 13.0
sample: 10, episode: 3, total reward: 49.0
sample: 10, episode: 4, total reward: 19.0
sample: 10, episode: 5, total reward: 22.0
sample: 10, episode: 6, total reward: 16.0
sample: 10, episode: 7, total reward: 26.0
sample: 10, episode: 8, total reward: 15.0
sample: 10, episode: 9, total reward: 32.0
sample: 11, episode: 0, total reward: 21.0
sample: 11, episode: 1, total reward: 9.0
sample: 11, episode: 2, total reward: 23.0
sample: 11, episode: 3, total reward: 12.0
sample: 11, episode: 4, total reward: 24.0
sample: 11, episode: 5, total reward: 18.0
sample: 11, episode: 6, total reward: 11.0
