sample: 152, episode: 0, total reward: 39.0
sample: 153, episode: 0, total reward: 22.0
sample: 154, episode: 0, total reward: 18.0
sample: 155, episode: 0, total reward: 36.0
sample: 156, episode: 0, total reward: 43.0
sample: 157, episode: 0, total reward: 14.0
sample: 158, episode: 0, total reward: 21.0
sample: 159, episode: 0, total reward: 21.0
sample: 160, episode: 0, total reward: 22.0
sample: 161, episode: 0, total reward: 15.0
sample: 162, episode: 0, total reward: 12.0
sample: 163, episode: 0, total reward: 32.0
sample: 164, episode: 0, total reward: 19.0
sample: 165, episode: 0, total reward: 18.0
sample: 166, episode: 0, total reward: 18.0
sample: 167, episode: 0, total reward: 25.0
sample: 168, episode: 0, total reward: 24.0
sample: 169, episode: 0, total reward: 74.0
sample: 170, episode: 0, total reward: 20.0
sample: 171, episode: 0, total reward: 18.0
sample: 172, episode: 0, total reward: 19.0
sample: 173, episode: 0, total reward: 12.0
sample: 174, episode: 0, total reward: 30.0
sample: 175, episode: 0, total reward: 10.0
sample: 176, episode: 0, total reward: 13.0
sample: 177, episode: 0, total reward: 14.0
sample: 178, episode: 0, total reward: 18.0
sample: 179, episode: 0, total reward: 12.0
sample: 180, episode: 0, total reward: 40.0
sample: 181, episode: 0, total reward: 20.0
sample: 182, episode: 0, total reward: 17.0
sample: 183, episode: 0, total reward: 16.0
sample: 184, episode: 0, total reward: 13.0
sample: 185, episode: 0, total reward: 34.0
sample: 186, episode: 0, total reward: 12.0
sample: 187, episode: 0, total reward: 18.0
sample: 188, episode: 0, total reward: 80.0
sample: 189, episode: 0, total reward: 21.0
sample: 190, episode: 0, total reward: 12.0
sample: 191, episode: 0, total reward: 37.0
sample: 192, episode: 0, total reward: 35.0
sample: 193, episode: 0, total reward: 32.0
sample: 194, episode: 0, total reward: 30.0
sample: 195, episode: 0, total reward: 9.0
sample: 196, episode: 0, total reward: 18.0
sample: 197, episode: 0, total reward: 15.0
sample: 198, episode: 0, total reward: 20.0
sample: 199, episode: 0, total reward: 18.0
sample: 200, episode: 0, total reward: 16.0
sample: 201, episode: 0, total reward: 22.0
sample: 202, episode: 0, total reward: 16.0
sample: 203, episode: 0, total reward: 23.0
sample: 204, episode: 0, total reward: 38.0
sample: 205, episode: 0, total reward: 32.0
sample: 206, episode: 0, total reward: 16.0
sample: 207, episode: 0, total reward: 26.0
sample: 208, episode: 0, total reward: 25.0
sample: 209, episode: 0, total reward: 18.0
sample: 210, episode: 0, total reward: 11.0
sample: 211, episode: 0, total reward: 13.0
sample: 212, episode: 0, total reward: 12.0
sample: 213, episode: 0, total reward: 14.0
sample: 214, episode: 0, total reward: 13.0
sample: 215, episode: 0, total reward: 26.0
sample: 216, episode: 0, total reward: 20.0
sample: 217, episode: 0, total reward: 43.0
sample: 218, episode: 0, total reward: 36.0
sample: 219, episode: 0, total reward: 11.0
sample: 220, episode: 0, total reward: 13.0
sample: 221, episode: 0, total reward: 24.0
sample: 222, episode: 0, total reward: 15.0
sample: 223, episode: 0, total reward: 20.0
sample: 224, episode: 0, total reward: 16.0
sample: 225, episode: 0, total reward: 21.0
sample: 226, episode: 0, total reward: 50.0
sample: 227, episode: 0, total reward: 21.0
sample: 228, episode: 0, total reward: 30.0
sample: 229, episode: 0, total reward: 17.0
sample: 230, episode: 0, total reward: 20.0
sample: 231, episode: 0, total reward: 16.0
sample: 232, episode: 0, total reward: 21.0
sample: 233, episode: 0, total reward: 24.0
sample: 234, episode: 0, total reward: 20.0
sample: 235, episode: 0, total reward: 34.0
sample: 236, episode: 0, total reward: 40.0
sample: 237, episode: 0, total reward: 14.0
sample: 238, episode: 0, total reward: 16.0
sample: 239, episode: 0, total reward: 31.0
sample: 240, episode: 0, total reward: 23.0
sample: 241, episode: 0, total reward: 20.0
sample: 242, episode: 0, total reward: 14.0
sample: 243, episode: 0, total reward: 11.0
sample: 244, episode: 0, total reward: 71.0
sample: 245, episode: 0, total reward: 34.0
sample: 246, episode: 0, total reward: 20.0
sample: 247, episode: 0, total reward: 16.0
sample: 248, episode: 0, total reward: 14.0
sample: 249, episode: 0, total reward: 15.0
sample: 250, episode: 0, total reward: 13.0
sample: 251, episode: 0, total reward: 33.0
sample: 252, episode: 0, total reward: 31.0
sample: 253, episode: 0, total reward: 32.0
sample: 254, episode: 0, total reward: 11.0
sample: 255, episode: 0, total reward: 42.0
sample: 256, episode: 0, total reward: 19.0
sample: 257, episode: 0, total reward: 28.0
sample: 258, episode: 0, total reward: 43.0
sample: 259, episode: 0, total reward: 25.0
sample: 260, episode: 0, total reward: 16.0
sample: 261, episode: 0, total reward: 34.0
sample: 262, episode: 0, total reward: 11.0
sample: 263, episode: 0, total reward: 23.0
sample: 264, episode: 0, total reward: 16.0
sample: 265, episode: 0, total reward: 29.0
sample: 266, episode: 0, total reward: 10.0
sample: 267, episode: 0, total reward: 21.0
sample: 268, episode: 0, total reward: 29.0
sample: 269, episode: 0, total reward: 15.0
sample: 270, episode: 0, total reward: 23.0
sample: 271, episode: 0, total reward: 27.0
sample: 272, episode: 0, total reward: 27.0
sample: 273, episode: 0, total reward: 14.0
sample: 274, episode: 0, total reward: 12.0
sample: 275, episode: 0, total reward: 21.0
sample: 276, episode: 0, total reward: 30.0
sample: 277, episode: 0, total reward: 15.0
sample: 278, episode: 0, total reward: 10.0
sample: 279, episode: 0, total reward: 21.0
sample: 280, episode: 0, total reward: 17.0
sample: 281, episode: 0, total reward: 14.0
sample: 282, episode: 0, total reward: 11.0
sample: 283, episode: 0, total reward: 38.0
sample: 284, episode: 0, total reward: 12.0
sample: 285, episode: 0, total reward: 15.0
sample: 286, episode: 0, total reward: 25.0
sample: 287, episode: 0, total reward: 17.0
sample: 288, episode: 0, total reward: 19.0
sample: 289, episode: 0, total reward: 16.0
sample: 290, episode: 0, total reward: 21.0
sample: 291, episode: 0, total reward: 27.0
sample: 292, episode: 0, total reward: 15.0
sample: 293, episode: 0, total reward: 35.0
sample: 294, episode: 0, total reward: 13.0
sample: 295, episode: 0, total reward: 32.0
sample: 296, episode: 0, total reward: 18.0
sample: 297, episode: 0, total reward: 14.0
sample: 298, episode: 0, total reward: 13.0
sample: 299, episode: 0, total reward: 24.0
sample: 300, episode: 0, total reward: 13.0
sample: 301, episode: 0, total reward: 15.0
sample: 302, episode: 0, total reward: 45.0
sample: 303, episode: 0, total reward: 26.0
sample: 304, episode: 0, total reward: 43.0
sample: 305, episode: 0, total reward: 16.0
sample: 306, episode: 0, total reward: 10.0
sample: 307, episode: 0, total reward: 46.0
sample: 308, episode: 0, total reward: 19.0
